canonical_name,aliases,sector,entity_type,inclusion_reasons,profile_summary,total_donations_gel,first_donation_date,last_donation_date,donation_count,donation_details,beneficial_owner,beneficial_owner_english,ownership_chain,registry_id,registry_official_name,registry_status,registry_address,has_allegations,allegation_count,allegation_types,allegation_details,allegation_sources,state_procurement_gel,state_contracts_count,state_benefit_details,website,sanctions,nazk_war_sponsor,registry_verified,sources
Gagra+,GAGRA; ᲒᲐᲒᲠᲐ,Construction,Company,DONOR,"Gagra+ is a construction company that donated 340K GEL to Georgian Dream to date. The beneficial owner is Unknown - Private company. Received approximately 34.0M GEL in state contracts, suggesting potential donor-contract correlation.",340000.0,2016-08-09,2019-04-23,3,"2016-08-09: 120,000 GEL | 2017-10-06: 120,000 GEL | 2019-04-23: 100,000 GEL",Unknown - Private company,,,ge-coreg-11cdc14213bd3347ab14c6c0d258247e1438d82b,შპს ბლექ სი ალიანს გაგრა,რეგისტრირებულია,"საქართველო, თბილისი, ისანი-სამგორის რაიონი, კრწანისის ქ., №16, კორ., №7, ბ.№4",No,0,,,,34000000,15,"State Procurement: 34,000,000 GEL (2016-2024)",,,,Yes,DONATIONWATCH
LION,LION,Construction,Company,DONOR,"LION is a construction company that donated 290K GEL to Georgian Dream to date. The beneficial owner is Unknown - Private company. Received approximately 28.0M GEL in state contracts, suggesting potential donor-contract correlation.",290000.0,2016-09-21,2020-12-08,3,"2016-09-21: 120,000 GEL | 2017-09-12: 120,000 GEL | 2020-12-08: 50,000 GEL",Unknown - Private company,,,ge-coreg-7f7b18946d806887f5a0f2165f90c802da1723c7,შპს Lion,რეგისტრირებულია,"საქართველო, თბილისი, ჩუღურეთის რაიონი, წინამძღვრიშვილის ქუჩა, N103, ლიტ.`ბ`",No,0,,,,28000000,12,"State Procurement: 28,000,000 GEL (2016-2020)",,,,Yes,DONATIONWATCH
Citadel,CITADEL; TSITADELI; ᲪᲘᲢᲐᲓᲔᲚᲘ,Construction,Company,"STATE_CONTRACTOR, DONOR","Citadel is a construction company that donated 290K GEL to Georgian Dream to date. The beneficial owner is Gia Jokhtaberidze. Received approximately 89.0M GEL in state contracts, suggesting potential donor-contract correlation.",290000.0,2016-10-06,2020-12-08,4,"2016-10-06: 100,000 GEL | 2017-09-08: 40,000 GEL | 2019-07-02: 100,000 GEL | 2020-12-08: 50,000 GEL",Gia Jokhtaberidze,,,ge-coreg-02a1b106ff5dbeb10e5c551c061e9dea4cc44d61,შპს ციტადელი XXI,აქტიური,"საქართველო, ქ. თბილისის, ძველი თბილისის რაიონში, კოსტავას ქ., N46/50",No,0,,,,89000000,23,"State Procurement: 89,000,000 GEL (2014-2024)",https://citadel.ge/,,,Yes,DONATIONWATCH
Kakhetian Traditional Winemaking,KAKHETIAN TRADITIONAL WINEMAKING; KAKHURI TRADITSIULI MEGHVINEOBA; ᲙᲐᲮᲣᲠᲘ ᲢᲠᲐᲓᲘᲪᲘᲣᲚᲘ ᲛᲔᲦᲕᲘᲜᲔᲝᲑᲐ,Agriculture & Wine,Company,"STATE_CONTRACTOR, DONOR",Kakhetian Traditional Winemaking is a agriculture & wine company that donated 240K GEL to Georgian Dream to date. The beneficial owner is Zurab Chkhaidze. Allegations include: CONTRACTS.,240000.0,2016-06-08,2017-09-18,2,"2016-06-08: 120,000 GEL | 2017-09-18: 120,000 GEL",Zurab Chkhaidze,,,ge-coreg-11540c0c3aec1795ee2eee9c0b20da149286810b,შპს კახური მარანი,რეგისტრირებულია,"საქართველო, თბილისი, ვაკე-საბურთალოს რაიონი, ბახტრიონის ქ., №26, ბ. 21",Yes,1,CONTRACTS,"CONTRACTS: Procurement Fraud: Major wine producer receiving state support and export assistance. Donated 240,000 GEL to Georgian Dream.",https://transparency.ge/en/blog/party-financing-2023-overview-political-donations,15000000,12,"State Procurement: 15,000,000 GEL (2016-2024)",https://www.ktw.ge/,,,Yes,DONATIONWATCH
GMP,GMP; JIEMPI; ᲯᲘᲔᲛᲞᲘ,Trading & Distribution,Company,DONOR,GMP is a trading & distribution company that donated 240K GEL to Georgian Dream to date. No documented allegations of misconduct; included for transparency in political finance mapping.,240000.0,2016-07-28,2017-08-08,2,"2016-07-28: 120,000 GEL | 2017-08-08: 120,000 GEL",,,,,,,,No,0,,,,,,,https://gmp.ge/,,,Yes,DONATIONWATCH; GE_COMPANY_REGISTRY
Aqua-Terra,AQUATERRA; AKVATERRA; ᲐᲥᲕᲐᲢᲔᲠᲠᲐ,Transport & Logistics,Company,DONOR,Aqua-Terra is a transport & logistics company that donated 230K GEL to Georgian Dream to date. The beneficial owner is Unknown - Private company. No documented allegations of misconduct; included for transparency in political finance mapping.,230000.0,2016-12-26,2017-10-06,2,"2016-12-26: 120,000 GEL | 2017-10-06: 110,000 GEL",Unknown - Private company,,,ge-coreg-086da4b64eebcdca2287b18bf442f50118e93978,,რეგისტრირებულია,"საქართველო, თბილისი, გლდანი-ნაძალადევის რაიონი, თემქა III მ/რ, I კვ., კორ.№14, ბინა №19",No,0,,,,,,,,,,Yes,DONATIONWATCH
Iberoil,IBEROIL; IBEROILI; ᲘᲑᲔᲠᲝᲘᲚᲘ,Energy & Mining,Company,DONOR,Iberoil is a energy & mining company that donated 210K GEL to Georgian Dream to date. The beneficial owner is Multiple shareholders. No documented allegations of misconduct; included for transparency in political finance mapping.,210000.0,2016-10-04,2017-10-04,2,"2016-10-04: 100,000 GEL | 2017-10-04: 110,000 GEL",Multiple shareholders,,,ge-coreg-cdd39ab1f085658b18f94e9c467f0b1151d59b63,შპს იბეროილი,რეგისტრირებულია,"საქართველო, თბილისი, სამგორის რაიონი, ივანე იუმაშევის ქუჩა, N 13ე",No,0,,,,,,,https://iberoil.ge/,,,Yes,DONATIONWATCH
Geo Sand,GEO SAND,Energy & Mining,Company,DONOR,Geo Sand is a energy & mining company that donated 200K GEL to Georgian Dream to date. No documented allegations of misconduct; included for transparency in political finance mapping.,200000.0,2017-09-15,2019-06-05,3,"2017-09-15: 100,000 GEL | 2019-04-22: 50,000 GEL | 2019-06-05: 50,000 GEL",,,,,,,,No,0,,,,,,,,,,Yes,DONATIONWATCH; GE_COMPANY_REGISTRY
Geo Quartz,GEO QUARTZ; JEO KVARTSI; ᲯᲔᲝ ᲙᲕᲐᲠᲪᲘ,Energy & Mining,Company,DONOR,Geo Quartz is a energy & mining company that donated 200K GEL to Georgian Dream to date. The beneficial owner is Mikheil Siradze. No documented allegations of misconduct; included for transparency in political finance mapping.,200000.0,2017-09-22,2019-06-05,3,"2017-09-22: 100,000 GEL | 2019-04-22: 50,000 GEL | 2019-06-05: 50,000 GEL",Mikheil Siradze (მიხეილ სირაძე),Mikheil Siradze,,ge-coreg-b6e2c3d03f7608c5cfec52c6ff7801c17ff8fdd4,შპს ჯეო კვარცი,რეგისტრირებულია,"საქართველო, საჩხერის რაიონი, სოფ.ჩიხა",No,0,,,,,,,,,,Yes,DONATIONWATCH
New Technologies,NEW TECHNOLOGIES; AKHALI TEKNOLOGIEBI; ᲐᲮᲐᲚᲘ ᲢᲔᲥᲜᲝᲚᲝᲒᲘᲔᲑᲘ,Technology,Company,DONOR,New Technologies is a technology company that donated 200K GEL to Georgian Dream to date. The beneficial owner is Kakha Kakhniashvili & Shota Khachidze. No documented allegations of misconduct; included for transparency in political finance mapping.,200000.0,2017-10-31,2019-05-14,2,"2017-10-31: 100,000 GEL | 2019-05-14: 100,000 GEL",Kakha Kakhniashvili & Shota Khachidze (კახა კახნიაშვილი & შოთა ხაჩიძე),Kakha Kakhniashvili & Shota Khachidze,,ge-coreg-086da4b64eebcdca2287b18bf442f50118e93978_2,,რეგისტრირებულია,"საქართველო, თბილისი, გლდანი-ნაძალადევის რაიონი, თემქა III მ/რ, I კვ., კორ.№14, ბინა №19",No,0,,,,,,,,,,Yes,DONATIONWATCH
